iter	Passed	Remaining
572	42074	68068
573	42139	67981
574	42206	67897
575	42272	67812
576	42343	67735
577	42404	67641
578	42466	67550
579	42530	67461
580	42600	67383
581	42665	67297
582	42726	67204
583	42836	67188
584	42935	67155
585	42993	67058
586	43057	66970
587	43126	66890
588	43184	66792
589	43247	66704
590	43312	66617
591	43374	66526
592	43434	66433
593	43494	66339
594	43562	66258
595	43626	66171
596	43690	66084
597	43751	65993
598	43822	65916
599	43901	65852
600	43971	65773
601	44038	65692
602	44112	65620
603	44172	65527
604	44235	65439
605	44314	65374
606	44378	65288
607	44444	65204
608	44504	65112
609	44572	65031
610	44638	64948
611	44704	64865
612	44764	64773
613	44825	64683
614	44890	64598
615	44992	64567
616	45067	64496
617	45137	64419
618	45205	64339
619	45270	64254
620	45344	64183
621	45411	64101
622	45476	64017
623	45553	63949
624	45629	63881
625	45691	63793
626	45765	63721
627	45828	63633
628	45893	63550
629	46033	63570
630	46130	63529
631	46203	63456
632	46273	63378
633	46337	63294
634	46407	63215
635	46468	63126
636	46538	63050
637	46624	62994
638	46697	62920
639	46769	62846
640	46849	62782
641	46929	62719
642	46996	62637
643	47077	62574
644	47173	62531
645	47255	62470
646	47322	62390
647	47388	62307
648	47458	62229
649	47532	62158
650	47597	62074
651	47659	61986
652	47732	61913
653	47798	61831
654	47864	61748
655	47934	61671
656	48002	61592
657	48067	61509
658	48153	61452
659	48224	61376
660	48282	61285
661	48363	61221
662	48439	61152
663	48514	61081
664	48585	61005
665	48646	60917
666	48709	60832
667	48778	60754
668	48844	60672
669	48908	60587
670	48974	60507
671	49043	60428
672	49109	60347
673	49252	60360
674	49359	60328
675	49429	60251
676	49493	60167
677	49565	60092
678	49633	60013
679	49702	59935
680	49769	59855
681	49835	59773
682	49900	59690
683	49970	59614
684	50038	59534
685	50111	59461
686	50190	59396
687	50272	59333
688	50382	59303
689	50460	59235
690	50523	59151
691	50591	59072
692	50652	58984
693	50723	58909
694	50792	58831
695	50860	58752
696	50924	58668
697	50994	58592
698	51063	58514
699	51173	58484
700	51252	58418
701	51330	58349
702	51424	58301
703	51487	58216
704	51571	58155
705	51654	58093
706	51738	58031
707	51813	57961
708	51885	57886
709	51951	57805
710	52028	57735
711	52096	57656
712	52166	57580
713	52238	57506
714	52292	57412
715	52346	57317
716	52453	57281
717	52609	57298
718	52672	57213
719	52742	57137
720	52812	57060
721	52877	56978
722	52959	56914
723	53047	56857
724	53118	56781
725	53184	56701
726	53247	56617
727	53327	56550
728	53398	56475
729	53578	56514
730	53653	56442
731	53717	56359
732	53780	56274
733	53838	56185
734	53897	56097
735	53960	56013
736	54032	55938
737	54096	55855
738	54158	55770
739	54216	55681
740	54297	55616
741	54377	55550
742	54448	55474
743	54518	55397
744	54637	55371
745	54718	55304
746	54791	55231
747	54858	55151
748	54924	55071
749	54990	54990
750	55065	54919
751	55134	54840
752	55188	54748
753	55255	54669
754	55322	54590
755	55388	54509
756	55450	54424
757	55515	54343
758	55608	54289
759	55678	54213
760	55742	54131
761	55811	54053
762	55885	53981
763	55955	53904
764	56027	53830
765	56108	53764
766	56181	53691
767	56246	53609
768	56311	53528
769	56378	53450
770	56441	53366
771	56508	53288
772	56572	53206
773	56701	53185
774	56800	53135
775	56861	53050
776	56928	52971
777	56999	52896
778	57072	52823
779	57138	52743
780	57194	52653
781	57287	52599
782	57372	52536
783	57440	52458
784	57518	52389
785	57595	52319
786	57662	52240
787	57738	52169
788	57819	52103
